ShefId,StationName,StationId,StateCode,Elevation,DCO,ForecastGroup,Notes,SnowAnalysis
ELSW1,Elbow Lake,910,WA,3040,Portland,NW_WASH,,"NW_WASH, SKAGIT"
MNOW1,MF Nooksack,1011,WA,4970,Portland,NW_WASH,,"NW_WASH, SKAGIT"
WCSW1,Wells Creek,909,WA,4030,Portland,NW_WASH,,"NW_WASH, SKAGIT"
BVPW1,Beaver Pass,990,WA,3630,Portland,SKAGIT,,"SKAGIT, NW_WASH"
BRTW1,Brown Top,1080,WA,5830,Portland,SKAGIT,Fire 2015,"SKAGIT, MC_UTRIB, NW_WASH"
EPSW1,Easy Pass,998,WA,5270,Portland,SKAGIT,,"SKAGIT, NW_WASH"
HRPW1,Harts Pass,515,WA,6490,Portland,SKAGIT,,"SKAGIT, MC_UTRIB"
MRTW1,Marten Ridge,999,WA,3520,Portland,SKAGIT,,"SKAGIT, NW_WASH"
RAIW1,Rainy Pass,711,WA,4890,Portland,SKAGIT,,"SKAGIT, MC_UTRIB"
SWSW1,Swamp Creek,975,WA,3930,Portland,SKAGIT,,"SKAGIT, MC_UTRIB"
THBW1,Thunder Basin,817,WA,4320,Portland,SKAGIT,,"SKAGIT, MC_UTRIB"
DCKW1,Decline Creek,1319,WA,4480,Portland,SKAGIT,,NONE
APSW1,Alpine Meadows,908,WA,3500,Portland,SNOHOMISH,,"SNOHOMISH, NW_WASH, SKAGIT"
OMWW1,Olallie Meadows,672,WA,4030,Portland,SNOHOMISH,,"SNOHOMISH, GREEN, MC_YAK, CEDAR, MC_UTRIB, SOUTHSOUND"
KUSW1,Skookum Creek,912,WA,3310,Portland,SNOHOMISH,,"SNOHOMISH, CEDAR, NW_WASH, SKAGIT"
SVNW1,Stevens Pass,791,WA,3950,Portland,SNOHOMISH,,"SNOHOMISH, MC_UTRIB, SKAGIT, MC_YAK"
MPSW1,Meadows Pass,897,WA,3230,Portland,CEDAR,,"CEDAR, MC_YAK, SNOHOMISH, GREEN"
MGSW1,Mount Gardner,898,WA,2920,Portland,CEDAR,,"CEDAR, GREEN, MC_YAK, SNOHOMISH"
RXSW1,Rex River,911,WA,3810,Portland,CEDAR,,"CEDAR, SNOHOMISH"
TKSW1,Tinkham Creek,899,WA,2990,Portland,CEDAR,,"CEDAR, GREEN, MC_YAK, SNOHOMISH"
CUMW1,Cougar Mountain,420,WA,3200,Portland,GREEN,,"GREEN, CEDAR, MC_YAK, SNOHOMISH, SOUTHSOUND"
LAKW1,Lynn Lake,1069,WA,3900,Portland,GREEN,,"GREEN, CEDAR, SNOHOMISH, SOUTHSOUND"
SAWW1,Sawmill Ridge,1068,WA,4640,Portland,GREEN,No normal yet,"GREEN, MC_YAK, SOUTHSOUND, COWLITZ, CEDAR"
SMPW1,Stampede Pass,788,WA,3850,Portland,GREEN,No normal yet,"GREEN, MC_YAK, CEDAR, SNOHOMISH"
BUSW1,Burnt Mountain,942,WA,4170,Portland,SOUTHSOUND,,"SOUTHSOUND, CEDAR, SNOHOMISH"
CAYW1,Cayuse Pass,1085,WA,5240,Portland,SOUTHSOUND,,"SOUTHSOUND, COWLITZ, MC_YAK"
COPW1,Corral Pass,418,WA,5800,Portland,SOUTHSOUND,Fire 2017,"SOUTHSOUND, COWLITZ, MC_YAK, GREEN"
HKSW1,Huckleberry Creek,928,WA,2250,Portland,SOUTHSOUND,,"SOUTHSOUND, GREEN, MC_YAK"
MHSW1,Mowich,941,WA,3160,Portland,SOUTHSOUND,Logged 2012,"SOUTHSOUND, GREEN, COWLITZ"
AFSW1,Paradise,679,WA,5130,Portland,SOUTHSOUND,,"SOUTHSOUND, COWLITZ, MC_YAK"
BKHW1,Buckinghorse,1107,WA,4870,Portland,OLYMPICS,,"OLYMPICS, CHEHALIS"
DGSW1,Dungeness,943,WA,4010,Portland,OLYMPICS,,OLYMPICS
MTCW1,Mount Crag,648,WA,3960,Portland,OLYMPICS,,OLYMPICS
WHSW1,Waterhole,974,WA,5010,Portland,OLYMPICS,,OLYMPICS
TEBW1,Mt. Tebo,1126,WA,3384,Portland,OLYMPICS,,OLYMPICS
